sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,datasource_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR12172704,paired,,,p30,DS-4,Solanum lycopersicum,,LA0147,fruit,,drought,,,d_0147_fruit,DS-4-5-2-1,DS-4-5-2-0
SRR12172692,paired,,,p30,DS-4,Solanum lycopersicum,Stupicke Polni Rane,,leaf,,none,,,control_ stup_leaf,DS-4-6-1-0,
SRR12172693,paired,,,p30,DS-4,Solanum lycopersicum,Stupicke Polni Rane,,fruit,,none,,,control_ stup_fruit,DS-4-6-2-0,
SRR12172690,paired,,,p30,DS-4,Solanum lycopersicum,Stupicke Polni Rane,,leaf,,drought,,,d_stup_leaf,DS-4-6-1-1,DS-4-6-1-0
SRR12172691,paired,,,p30,DS-4,Solanum lycopersicum,Stupicke Polni Rane,,fruit,,drought,,,d_stup_fruit,DS-4-6-2-1,DS-4-6-2-0
SRR12172687,paired,,,p30,DS-4,Solanum lycopersicum,Levovil,,leaf,,none,,,control_levovil_leaf,DS-4-7-1-0,
SRR12172686,paired,,,p30,DS-4,Solanum lycopersicum,Levovil,,fruit,,none,,,control_levovil_fruit,DS-4-7-2-0,
SRR12172689,paired,,,p30,DS-4,Solanum lycopersicum,Levovil,,leaf,,drought,,,d_levovil_leaf,DS-4-7-1-1,DS-4-7-1-0
SRR12172688,paired,,,p30,DS-4,Solanum lycopersicum,Levovil,,fruit,,drought,,,d_levovil_fruit,DS-4-7-2-1,DS-4-7-2-0
SRR12172682,paired,,,p30,DS-4,Solanum lycopersicum,Cervil,,leaf,,none,,,control_cervil_leaf,DS-4-8-1-0,
SRR12172681,paired,,,p30,DS-4,Solanum lycopersicum,Cervil,,fruit,,none,,,control_cervil_fruit,DS-4-8-2-0,
SRR12172685,paired,,,p30,DS-4,Solanum lycopersicum,Cervil,,leaf,,drought,,,d_cervil_leaf,DS-4-8-1-1,DS-4-8-1-0
SRR12172684,paired,,,p30,DS-4,Solanum lycopersicum,Cervil,,fruit,,drought,,,d_cervil_fruit,DS-4-8-2-1,DS-4-8-2-0
SRR11517921,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,none,,,0h_ 1,DS-12-2-0,
SRR11517922,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,none,,,0h_ 2,DS-12-2-0,
SRR11517923,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,none,,,0h_ 3,DS-12-2-0,
SRR11517924,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,salt,2,,2h_1,DS-12-2-1,DS-12-2-0
SRR11517925,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,salt,2,,2h_2,DS-12-2-1,DS-12-2-0
SRR11517926,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,salt,2,,2h_3,DS-12-2-1,DS-12-2-0
SRR11517927,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,salt,8,,8h_1,DS-12-2-2,DS-12-2-0
SRR11517928,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,salt,8,,8h_2,DS-12-2-2,DS-12-2-0
SRR11517929,paired,,,p22,DS-12,Solanum lycopersicum,Micro tom,,leaf,,salt,8,,8h_3,DS-12-2-2,DS-12-2-0
SRR9964713,single,200,30,p32,DS-22,Solanum lycopersicum,Kashi Amrit,,leaf,,none,,,control_KA,DS-22-0,
SRR9964712,single,200,30,p32,DS-22,Solanum lycopersicum,Kashi Amrit,,leaf,,salt,,,treatment_KA,DS-22-1,DS-22-0
SRR7349520,single,200,30,p34,DS-23,Solanum lycopersicum,Micro tom,,seedling,,none,,,control_mt_1,DS-23-0,
SRR7349521,single,200,30,p34,DS-23,Solanum lycopersicum,Micro tom,,seedling,,none,,,control_mt_2,DS-23-0,
SRR7349518,single,200,30,p34,DS-23,Solanum lycopersicum,Micro tom,,seedling,,none,,,control_mt_3,DS-23-0,
SRR7349522,single,200,30,p34,DS-23,Solanum lycopersicum,Micro tom,,seedling,,salt,,,s_mt_1,DS-23-1,DS-23-0
SRR7349523,single,200,30,p34,DS-23,Solanum lycopersicum,Micro tom,,seedling,,salt,,,s_mt_2,DS-23-1,DS-23-0
SRR7349527,single,200,30,p34,DS-23,Solanum lycopersicum,Micro tom,,seedling,,salt,,,s_mt_3,DS-23-1,DS-23-0
SRR12026418,paired,,,p37,DS-17,Solanum lycopersicum,Boludo,,leaf,,salt,336,25,S1,DS-17-1,DS-17-0
SRR12026419,paired,,,p37,DS-17,Solanum lycopersicum,Boludo,,leaf,,salt,336,25,S2,DS-17-1,DS-17-0
SRR12026420,paired,,,p37,DS-17,Solanum lycopersicum,Boludo,,leaf,,salt,336,25,S3,DS-17-1,DS-17-0
SRR21031289,paired,,,p40,DS-5,Solanum lycopersicum,,,leaf,,none,,,ck_wt1,DS-5-0,
SRR21031288,paired,,,p40,DS-5,Solanum lycopersicum,,,leaf,,none,,,ck_wt2,DS-5-0,
SRR21031283,paired,,,p40,DS-5,Solanum lycopersicum,,,leaf,,drought,,,dt_wt1,DS-5-1,DS-5-0
SRR21031282,paired,,,p40,DS-5,Solanum lycopersicum,,,leaf,,drought,,,dt_wt2,DS-5-1,DS-5-0
SRR17762460,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D5_rep1,DS-7-1-0,
SRR17762459,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D5_rep2,DS-7-1-0,
SRR17762448,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D5_rep3,DS-7-1-0,
SRR17762425,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,120,,M82_D_D5_rep1,DS-7-1-1,DS-7-1-0
SRR17762458,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,120,,M82_D_D5_rep2,DS-7-1-1,DS-7-1-0
SRR17762457,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,120,,M82_D_D5_rep3,DS-7-1-1,DS-7-1-0
SRR17762437,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D8_rep1,DS-7-2-0,
SRR17762430,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D8_rep2,DS-7-2-0,
SRR17762429,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D8_rep3,DS-7-2-0,
SRR17762456,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,192,,M82_D_D8_rep1,DS-7-2-1,DS-7-2-0
SRR17762455,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,192,,M82_D_D8_rep2,DS-7-2-1,DS-7-2-0
SRR17762454,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,192,,M82_D_D8_rep3,DS-7-2-1,DS-7-2-0
SRR17762428,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D11_rep1,DS-7-3-0,
SRR17762427,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D11_rep2,DS-7-3-0,
SRR17762426,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,none,,,M82_C_D11_rep3,DS-7-3-0,
SRR17762453,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,264,,M82_D_D11_rep1,DS-7-3-1,DS-7-3-0
SRR17762452,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,264,,M82_D_D11_rep2,DS-7-3-1,DS-7-3-0
SRR17762451,single,200,30,p41,DS-7,Solanum lycopersicum,M82,,leaf,,drought,264,,M82_D_D11_rep3,DS-7-3-1,DS-7-3-0
SRR15600853,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,none,,,,DS-18-1-0,
SRR15600852,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,none,,,,DS-18-1-0,
SRR15600851,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,none,,,,DS-18-1-0,
SRR15410553,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,heat,,,,DS-18-1-1,DS-18-1-0
SRR15410552,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,heat,,,,DS-18-1-1,DS-18-1-0
SRR15410551,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,heat,,,,DS-18-1-1,DS-18-1-0
SRR15607561,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,none,,,,DS-18-2-0,
SRR15607560,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,none,,,,DS-18-2-0,
SRR15607558,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,none,,,,DS-18-2-0,
SRR15607557,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,salt,,,,DS-18-2-1,DS-18-2-0
SRR15607556,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,salt,,,,DS-18-2-1,DS-18-2-0
SRR15607555,paired,,,p42,DS-18,Solanum lycopersicum,M82,,leaf,mature,salt,,,,DS-18-2-1,DS-18-2-0
SRR15607544,paired,,,p42,DS-18,Solanum lycopersicum,M82,,root,,none,,,,DS-18-3-0,
SRR15607543,paired,,,p42,DS-18,Solanum lycopersicum,M82,,root,,none,,,,DS-18-3-0,
SRR15607542,paired,,,p42,DS-18,Solanum lycopersicum,M82,,root,,none,,,,DS-18-3-0,
SRR15607554,paired,,,p42,DS-18,Solanum lycopersicum,M82,,root,,salt,,,,DS-18-3-1,DS-18-3-0
SRR15607553,paired,,,p42,DS-18,Solanum lycopersicum,M82,,root,,salt,,,,DS-18-3-1,DS-18-3-0
SRR15607552,paired,,,p42,DS-18,Solanum lycopersicum,M82,,root,,salt,,,,DS-18-3-1,DS-18-3-0
SRR15245010,paired,,,p43,DS-8,Solanum lycopersicum,Moneymaker,,leaf,,none,,25,,DS-8-0,
SRR15245008,paired,,,p43,DS-8,Solanum lycopersicum,Moneymaker,,leaf,,none,,25,,DS-8-0,
SRR15245007,paired,,,p43,DS-8,Solanum lycopersicum,Moneymaker,,leaf,,none,,25,,DS-8-0,
SRR15244998,paired,,,p43,DS-8,Solanum lycopersicum,Moneymaker,,leaf,,drought,288,25,,DS-8-1,DS-8-0
SRR15244997,paired,,,p43,DS-8,Solanum lycopersicum,Moneymaker,,leaf,,drought,288,25,,DS-8-1,DS-8-0
SRR15245013,paired,,,p43,DS-8,Solanum lycopersicum,Moneymaker,,leaf,,drought,288,25,,DS-8-1,DS-8-0
SRR21847264,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,none,,,,DS-24-0,
SRR21847273,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,none,,,,DS-24-0,
SRR21847274,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,none,,,,DS-24-0,
SRR21847261,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,0.5,,,DS-24-1,DS-24-0
SRR21847262,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,0.5,,,DS-24-1,DS-24-0
SRR21847263,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,0.5,,,DS-24-1,DS-24-0
SRR21847258,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,2,,,DS-24-2,DS-24-0
SRR21847259,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,2,,,DS-24-2,DS-24-0
SRR21847260,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,2,,,DS-24-2,DS-24-0
SRR21847271,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,6,,,DS-24-3,DS-24-0
SRR21847272,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,6,,,DS-24-3,DS-24-0
SRR21847257,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,6,,,DS-24-3,DS-24-0
SRR21847268,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,12,,,DS-24-4,DS-24-0
SRR21847269,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,12,,,DS-24-4,DS-24-0
SRR21847270,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,12,,,DS-24-4,DS-24-0
SRR21847265,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,24,,,DS-24-5,DS-24-0
SRR21847266,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,24,,,DS-24-5,DS-24-0
SRR21847267,paired,,,p44,DS-24,Solanum lycopersicum,M82,,leaf,,salt,24,,,DS-24-5,DS-24-0
ERR5101635,paired,,,p45,DS-26,Solanum lycopersicum,ACE 55,,leaf,,none,,,,DS-26-0,
ERR5101639,paired,,,p45,DS-26,Solanum lycopersicum,ACE 55,,leaf,,none,,,,DS-26-0,
ERR5101640,paired,,,p45,DS-26,Solanum lycopersicum,ACE 55,,leaf,,none,,,,DS-26-0,
ERR5101641,paired,,,p45,DS-26,Solanum lycopersicum,ACE 55,,leaf,,salt,,,,DS-26-1,DS-26-0
ERR5101642,paired,,,p45,DS-26,Solanum lycopersicum,ACE 55,,leaf,,salt,,,,DS-26-1,DS-26-0
ERR5101643,paired,,,p45,DS-26,Solanum lycopersicum,ACE 55,,leaf,,salt,,,,DS-26-1,DS-26-0
SRR15111732,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 1-2,none,,,,DS-9-1-0,
SRR15111731,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 1-2,none,,,,DS-9-1-0,
SRR15111740,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 1-2,none,,,,DS-9-1-0,
SRR15111739,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 1-2,drought,,,,DS-9-1-1,DS-9-1-0
SRR15111738,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 1-2,drought,,,,DS-9-1-1,DS-9-1-0
SRR15111737,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 1-2,drought,,,,DS-9-1-1,DS-9-1-0
SRR15111736,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 3-4,none,,,,DS-9-2-0,
SRR15111735,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 3-4,none,,,,DS-9-2-0,
SRR15111734,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 3-4,none,,,,DS-9-2-0,
SRR15111733,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 3-4,drought,,,,DS-9-2-1,DS-9-2-0
SRR15111730,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 3-4,drought,,,,DS-9-2-1,DS-9-2-0
SRR15111729,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 3-4,drought,,,,DS-9-2-1,DS-9-2-0
SRR15111744,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 5-6,none,,,,DS-9-3-0,
SRR15111745,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 5-6,none,,,,DS-9-3-0,
SRR15111746,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 5-6,none,,,,DS-9-3-0,
SRR15111743,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 5-6,drought,,,,DS-9-3-1,DS-9-3-0
SRR15111742,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 5-6,drought,,,,DS-9-3-1,DS-9-3-0
SRR15111741,paired,,,p46,DS-9,Solanum lycopersicum,Micro tom,,anther,stage 5-6,drought,,,,DS-9-3-1,DS-9-3-0
,single,200,30,none (data from HUJI),DS-10,Solanum lycopersicum,M82,,ovaries,,none,,,control-1,DS-10-0,
,single,200,30,none (data from HUJI),DS-10,Solanum lycopersicum,M82,,ovaries,,none,,,control-3,DS-10-0,
,single,200,30,none (data from HUJI),DS-10,Solanum lycopersicum,M82,,ovaries,,heat,1200,32,heat-1,DS-10-1,DS-10-0
,single,200,30,none (data from HUJI),DS-10,Solanum lycopersicum,M82,,ovaries,,heat,1200,32,heat-2,DS-10-1,DS-10-0
