set,source,target,paths,length
heat-core,Solyc04g080850.3.1,Solyc02g083850.3.1,"[['Solyc04g080850.3.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc07g006830.4.1,Solyc02g083850.3.1,"[['Solyc07g006830.4.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc08g063090.2.1,Solyc12g019460.2.1,"[['Solyc08g063090.2.1', 'Solyc12g019460.2.1']]",2
heat-core,Solyc09g091510.3.1,Solyc07g007790.3.1,"[['Solyc09g091510.3.1', 'Solyc07g007790.3.1']]",2
heat-core,Solyc10g011810.4.1,Solyc02g088340.4.1,"[['Solyc10g011810.4.1', 'Solyc08g078400.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc10g012410.3.1,Solyc02g088340.4.1,"[['Solyc10g012410.3.1', 'Solyc07g008340.4.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc12g055930.3.1,Solyc03g096730.3.1,"[['Solyc12g055930.3.1', 'Solyc03g096730.3.1']]",2
random,Solyc09g015580.1.1,Solyc06g005170.3.1,"[['Solyc09g015580.1.1', '4081.A0A3Q7EM34', 'Solyc06g005170.3.1']]",3
random,Solyc09g065920.3.1,Solyc02g088340.4.1,"[['Solyc09g065920.3.1', '4081.A0A3Q7J9Z7', 'Solyc02g088340.4.1']]",3
random,Solyc01g010870.3.1,Solyc10g084170.1.1,"[['Solyc01g010870.3.1', 'Solyc05g055880.4.1', 'Solyc10g084170.1.1']]",3
random,Solyc06g060680.2.1,Solyc02g083850.3.1,"[['Solyc06g060680.2.1', 'Solyc02g083850.3.1']]",2
random,Solyc02g086200.4.1,Solyc05g007100.3.1,"[['Solyc02g086200.4.1', 'Solyc05g007100.3.1']]",2
random,Solyc02g069550.1.1,Solyc02g083850.3.1,"[['Solyc02g069550.1.1', 'Solyc08g080990.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g112280.3.1,Solyc02g083850.3.1,"[['Solyc01g112280.3.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc07g063575.1.1,Solyc02g078030.3.1,"[['Solyc07g063575.1.1', 'Solyc02g068410.3.1', 'Solyc02g078030.3.1']]",3
random,Solyc07g063530.3.1,Solyc02g078030.3.1,"[['Solyc07g063530.3.1', 'Solyc02g068410.3.1', 'Solyc02g078030.3.1']]",3
random,Solyc07g006160.3.1,Solyc02g088340.4.1,"[['Solyc07g006160.3.1', 'Solyc01g091170.3.1', 'Solyc02g088340.4.1']]",3
random,Solyc10g005840.4.1,Solyc02g083850.3.1,"[['Solyc10g005840.4.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc08g068030.1.1,Solyc02g088340.4.1,"[['Solyc08g068030.1.1', 'Solyc01g091170.3.1', 'Solyc02g088340.4.1']]",3
random,Solyc07g045410.2.1,Solyc03g117590.3.1,"[['Solyc07g045410.2.1', 'Solyc03g120630.5.1', 'Solyc03g117590.3.1']]",3
random,Solyc02g068090.3.1,Solyc02g088340.4.1,"[['Solyc02g068090.3.1', '4081.A0A3Q7J9Y4', 'Solyc02g088340.4.1']]",3
random,Solyc02g038813.1.1,Solyc02g083850.3.1,"[['Solyc02g038813.1.1', 'Solyc03g019850.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc07g017730.3.1,Solyc02g083850.3.1,"[['Solyc07g017730.3.1', 'Solyc10g055545.1.1', 'Solyc02g083850.3.1']]",3
random,Solyc03g025150.4.1,Solyc02g088340.4.1,"[['Solyc03g025150.4.1', 'Solyc08g077980.4.1', 'Solyc02g088340.4.1']]",3
random,Solyc11g069170.2.1,Solyc02g083850.3.1,"[['Solyc11g069170.2.1', 'Solyc08g066270.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g105080.2.1,Solyc02g083850.3.1,"[['Solyc01g105080.2.1', 'Solyc03g071750.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc04g045470.4.1,Solyc03g096730.3.1,"[['Solyc04g045470.4.1', 'Solyc06g073090.3.1', 'Solyc03g096730.3.1']]",3
random,Solyc02g011720.1.1,Solyc02g088340.4.1,"[['Solyc02g011720.1.1', 'Solyc04g054890.3.1', 'Solyc02g088340.4.1']]",3
random,Solyc07g054400.3.1,Solyc02g083850.3.1,"[['Solyc07g054400.3.1', 'Solyc05g005190.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc10g078670.3.1,Solyc02g088340.4.1,"[['Solyc10g078670.3.1', 'Solyc02g069310.3.1', 'Solyc02g088340.4.1']]",3
random,Solyc08g065470.5.1,Solyc02g088340.4.1,"[['Solyc08g065470.5.1', '4081.A0A3Q7J9Z7', 'Solyc02g088340.4.1']]",3
random,Solyc09g010720.3.1,Solyc03g117590.3.1,"[['Solyc09g010720.3.1', 'Solyc09g090660.3.1', 'Solyc03g117590.3.1']]",3
random,Solyc02g083980.3.1,Solyc02g083850.3.1,"[['Solyc02g083980.3.1', 'Solyc09g074320.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc11g061870.3.1,Solyc02g088340.4.1,"[['Solyc11g061870.3.1', 'Solyc01g091170.3.1', 'Solyc02g088340.4.1']]",3
random,Solyc06g043150.4.1,Solyc02g078030.3.1,"[['Solyc06g043150.4.1', 'Solyc11g005720.1.1', 'Solyc02g078030.3.1']]",3
random,Solyc06g050630.3.1,Solyc02g083850.3.1,"[['Solyc06g050630.3.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g087540.5.1,Solyc03g096730.3.1,"[['Solyc01g087540.5.1', '4081.A0A3Q7HT77', 'Solyc03g096730.3.1']]",3
random,Solyc07g053200.5.1,Solyc02g078030.3.1,"[['Solyc07g053200.5.1', 'Solyc09g008740.1.1', 'Solyc02g078030.3.1']]",3
random,Solyc00g022100.1.1,Solyc02g083850.3.1,"[['Solyc00g022100.1.1', 'Solyc11g072630.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc07g053570.4.1,Solyc06g005170.3.1,"[['Solyc07g053570.4.1', 'Solyc06g005170.3.1']]",2
random,Solyc09g008120.4.1,Solyc02g078030.3.1,"[['Solyc09g008120.4.1', 'Solyc09g008740.1.1', 'Solyc02g078030.3.1']]",3
random,Solyc04g008770.3.1,Solyc02g083850.3.1,"[['Solyc04g008770.3.1', 'Solyc08g080990.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc11g006500.2.1,Solyc02g088340.4.1,"[['Solyc11g006500.2.1', 'Solyc12g099025.1.1', 'Solyc02g088340.4.1']]",3
random,Solyc04g009620.5.1,Solyc02g083850.3.1,"[['Solyc04g009620.5.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc08g078680.4.1,Solyc02g083850.3.1,"[['Solyc08g078680.4.1', 'Solyc01g111560.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc07g005330.3.1,Solyc02g083850.3.1,"[['Solyc07g005330.3.1', 'Solyc01g098920.4.1', 'Solyc02g083850.3.1']]",3
random,Solyc10g054090.2.1,Solyc02g083850.3.1,"[['Solyc10g054090.2.1', 'Solyc09g074320.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc10g079080.2.1,Solyc02g083850.3.1,"[['Solyc10g079080.2.1', 'Solyc08g077770.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc09g090540.3.1,Solyc02g083850.3.1,"[['Solyc09g090540.3.1', 'Solyc02g067390.3.1', 'Solyc11g011040.2.1', 'Solyc02g083850.3.1']]",4
random,Solyc01g150101.2.1,Solyc02g078030.3.1,"[['Solyc01g150101.2.1', 'Solyc07g043250.1.1', 'Solyc02g078030.3.1']]",3
random,Solyc02g150118.1.1,Solyc02g083850.3.1,"[['Solyc02g150118.1.1', 'Solyc11g005660.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc01g099450.4.1,Solyc07g007790.3.1,"[['Solyc01g099450.4.1', 'Solyc07g007790.3.1']]",2
random,Solyc02g071050.4.1,Solyc02g083850.3.1,"[['Solyc02g071050.4.1', 'Solyc04g077790.3.1', 'Solyc02g083850.3.1']]",3
random,Solyc04g074930.4.1,Solyc02g083850.3.1,"[['Solyc04g074930.4.1', 'Solyc12g099500.2.1', 'Solyc01g094660.3.1', 'Solyc02g083850.3.1']]",4
random,Solyc03g113390.3.1,Solyc02g088340.4.1,"[['Solyc03g113390.3.1', 'Solyc02g088340.4.1']]",2
random,Solyc07g049420.1.1,Solyc10g084170.1.1,"[['Solyc07g049420.1.1', 'Solyc10g084170.1.1']]",2
random,Solyc11g160230.1.1,Solyc03g117590.3.1,"[['Solyc11g160230.1.1', 'Solyc03g120630.5.1', 'Solyc03g117590.3.1']]",3
random,Solyc10g009340.1.1,Solyc02g083850.3.1,"[['Solyc10g009340.1.1', 'Solyc02g083850.3.1']]",2
random,Solyc03g006700.3.1,Solyc02g083850.3.1,"[['Solyc03g006700.3.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
random,Solyc09g011680.1.1,Solyc04g078770.5.1,"[['Solyc09g011680.1.1', 'Solyc04g078770.5.1']]",2
random,Solyc10g011740.3.1,Solyc02g078030.3.1,"[['Solyc10g011740.3.1', 'Solyc07g043250.1.1', 'Solyc02g078030.3.1']]",3
random,Solyc11g070030.2.1,Solyc09g011920.3.1,"[['Solyc11g070030.2.1', 'Solyc09g011920.3.1']]",2
random,Solyc05g014880.3.1,Solyc02g083850.3.1,"[['Solyc05g014880.3.1', 'Solyc05g005190.3.1', 'Solyc02g083850.3.1']]",3
