gene,stress,reasonable_term
Solyc04g080630,heat,true
Solyc04g081530,heat,true
Solyc04g081570,heat,true
Solyc04g082170,heat,true
Solyc04g082180,heat,true
Solyc04g082470,heat,true
Solyc04g082690,heat,true
Solyc04g082780,heat,true
Solyc04g082790,heat,true
Solyc04g082890,heat,true
Solyc04g082910,heat,true
Solyc05g005070,heat,true
Solyc05g005820,heat,true
Solyc05g008890,heat,true
Solyc05g010670,heat,true
Solyc05g012380,heat,true
Solyc05g012570,heat,true
Solyc05g013030,heat,true
Solyc05g014280,heat,true
Solyc05g014470,heat,true
Solyc05g017890,heat,true
Solyc05g026310,heat,true
Solyc05g040050,heat,true
Solyc05g046310,heat,true
Solyc05g050750,heat,true
Solyc05g050810,heat,true
Solyc05g050820,heat,true
Solyc05g051850,heat,true
Solyc05g052900,heat,true
Solyc05g053340,heat,true
Solyc05g053470,heat,true
Solyc05g054150,heat,true
Solyc05g055160,heat,true
Solyc05g055240,heat,true
Solyc05g056390,heat,true
Solyc05g056560,heat,true
Solyc06g005150,heat,true
Solyc06g005160,heat,true
Solyc06g005440,heat,true
Solyc06g005810,heat,true
Solyc06g007910,heat,true
Solyc06g007920,heat,true
Solyc06g008270,heat,true
Solyc06g008970,heat,true
Solyc06g009630,heat,true
Solyc06g010000,heat,true
Solyc06g011370,heat,true
Solyc06g011380,heat,true
Solyc06g011400,heat,true
Solyc06g036290,heat,true
Solyc06g036420,heat,true
Solyc06g036430,heat,true
Solyc06g049060,heat,true
Solyc06g050520,heat,true
Solyc06g051270,heat,true
Solyc06g052050,heat,true
Solyc06g060300,heat,true
Solyc06g060660,heat,true
Solyc06g062510,heat,true
Solyc06g063030,heat,true
Solyc06g068680,heat,true
Solyc06g068700,heat,true
Solyc06g068960,heat,true
Solyc06g069790,heat,true
Solyc06g071210,heat,true
Solyc06g071920,heat,true
Solyc06g072750,heat,true
Solyc06g072790,heat,true
Solyc06g073320,heat,true
Solyc06g073550,heat,true
Solyc06g073830,heat,true
Solyc06g073870,heat,true
Solyc06g076450,heat,true
Solyc06g076520,heat,true
Solyc06g076540,heat,true
Solyc06g076560,heat,true
Solyc06g076570,heat,true
Solyc06g082560,heat,true
Solyc06g082740,heat,true
Solyc06g083150,heat,true
Solyc06g083190,heat,true
Solyc06g083620,heat,true
Solyc06g084130,heat,true
Solyc06g084220,heat,true
Solyc06g084320,heat,true
Solyc07g005210,heat,true
Solyc07g005820,heat,true
Solyc07g006745,heat,true
Solyc07g007380,heat,true
Solyc07g008800,heat,true
Solyc07g032250,heat,true
Solyc07g040680,heat,true
Solyc07g040690,heat,true
Solyc07g040990,heat,true
Solyc07g043560,heat,true
Solyc07g044980,heat,true
Solyc07g045610,heat,true
Solyc07g047790,heat,true
Solyc07g049360,heat,true
Solyc07g049450,heat,true
Solyc07g052110,heat,true
Solyc07g055090,heat,true
Solyc07g055710,heat,true
Solyc07g055720,heat,true
Solyc07g056580,heat,true
Solyc07g062400,heat,true
Solyc07g062410,heat,true
Solyc07g063410,heat,true
Solyc07g064020,heat,true
Solyc07g064930,heat,true
Solyc07g065840,heat,true
Solyc07g065900,heat,true
Solyc07g066480,heat,true
Solyc07g066600,heat,true
Solyc08g005100,heat,true
Solyc08g005170,heat,true
Solyc08g005620,heat,true
Solyc08g007440,heat,true
Solyc08g007830,heat,true
Solyc08g008470,heat,true
Solyc08g016670,heat,true
Solyc08g028690,heat,true
Solyc08g048430,heat,true
Solyc08g048450,heat,true
Solyc08g059760,heat,true
Solyc08g062340,heat,true
Solyc08g062700,heat,true
Solyc08g062960,heat,true
Solyc08g067070,heat,true
Solyc08g076860,heat,true
Solyc08g078510,heat,true
Solyc08g078700,heat,true
Solyc08g078710,heat,true
Solyc08g078720,heat,true
Solyc08g078760,heat,true
Solyc08g078770,heat,true
Solyc08g078780,heat,true
Solyc08g079170,heat,true
Solyc08g079260,heat,true
Solyc08g080540,heat,true
Solyc08g081010,heat,true
Solyc08g081455,heat,true
Solyc08g081730,heat,true
Solyc08g082260,heat,true
Solyc08g082700,heat,true
Solyc08g082820,heat,true
Solyc08g082920,heat,true
Solyc09g005120,heat,true
Solyc09g005140,heat,true
Solyc09g007140,heat,true
Solyc09g007270,heat,true
Solyc09g007630,heat,true
Solyc09g007870,heat,true
Solyc09g008020,heat,true
Solyc09g009100,heat,true
Solyc09g009840,heat,true
Solyc09g010630,heat,true
Solyc09g010640,heat,true
Solyc09g011030,heat,true
Solyc09g011220,heat,true
Solyc09g011660,heat,true
Solyc09g013110,heat,true
Solyc09g014990,heat,true
Solyc09g015000,heat,true
Solyc09g015020,heat,true
Solyc09g015360,heat,true
Solyc09g055230,heat,true
Solyc09g055250,heat,true
Solyc09g055470,heat,true
Solyc09g056340,heat,true
Solyc09g057660,heat,true
Solyc09g059210,heat,true
Solyc09g059950,heat,true
Solyc09g059970,heat,true
Solyc09g064370,heat,true
Solyc09g065020,heat,true
Solyc09g066290,heat,true
Solyc09g074410,heat,true
Solyc09g075440,heat,true
Solyc09g075470,heat,true
Solyc09g075600,heat,true
Solyc09g075950,heat,true
Solyc09g082690,heat,true
Solyc09g090700,heat,true
Solyc09g090870,heat,true
Solyc09g091180,heat,true
Solyc09g091830,heat,true
Solyc09g091920,heat,true
Solyc09g097900,heat,true
