F-box,ch01,65197757,65201263,upregulated
BAG6,ch01,78890165,78895204,upregulated
ABCtr,ch01,83196283,83207129,upregulated
LCYB,ch01,83876790,83883381,downregulated
Hsp22-1,ch01,83883949,83884828,upregulated
MgTrNIPA,ch01,84578351,84584141,downregulated
MBF1C,ch01,85433166,85434063,upregulated
RHD3,ch02,24450860,24478039,upregulated
FNR,ch02,31707614,31711022,upregulated
VAL1,ch02,41621350,41632620,upregulated
DNJ50,ch02,42423220,42428876,upregulated
SMUBP-2,ch03,32017452,32033189,upregulated
HSP21,ch03,46921671,46922757,upregulated
GMI1,ch03,47612587,47619785,upregulated
VGT2,ch03,53902565,53911323,downregulated
unknown-1,ch03,54847854,54848915,upregulated
5-FCL,ch03,58093891,58100074,upregulated
Hsp22-2,ch03,58402299,58402865,upregulated
DEAD14,ch03,61058385,61061572,upregulated
Hsc70,ch04,3928359,3931599,upregulated
Hsp15.7,ch04,4743668,4745231,upregulated
PCMP-H41,ch04,51571476,51573836,upregulated
TXN,ch04,62892538,62894761,downregulated
sHsp1,ch05,8154188,8156741,upregulated
RBP-1,ch05,64170670,64174436,upregulated
ClpB,ch06,6799562,6802864,upregulated
Hsp90,ch06,23645830,23649153,upregulated
HspI-1,ch06,45227381,45227845,upregulated
HspI-2,ch06,45238412,45239257,upregulated
RBP-2,ch06,45292364,45295553,upregulated
KHP,ch06,46006183,46010425,downregulated
unknown-2,ch06,46393332,46394045,upregulated
CBP,ch07,1666722,1674282,downregulated
unknown-3,ch07,67006663,67006968,upregulated
CDC20.2,ch08,326631,329607,upregulated
GGCT,ch08,889615,892880,upregulated
Hsp17.9,ch08,49018254,49019026,upregulated
FAD,ch08,50771472,50773479,downregulated
NPF1.2,ch08,53910591,53913650,upregulated
Zfp,ch08,55116477,55121985,upregulated
msHsp,ch08,60572675,60579681,upregulated
APX,ch09,884116,888249,upregulated
unknown-4,ch09,2386286,2386696,upregulated
COPT,ch09,4779109,4781558,upregulated
HspI-3,ch09,7449362,7450403,upregulated
CHS1,ch09,66873902,66876060,downregulated
AuxGH3,ch10,1020531,1023831,upregulated
d8FAD,ch10,3831274,3832908,downregulated
rsmG,ch10,4870825,4873764,downregulated
unknown-5,ch10,61641855,61645438,upregulated
GST,ch10,63112482,63115222,upregulated
Hsp70-1,ch11,10108935,10113191,upregulated
Hsp70-2,ch11,49815611,49818161,upregulated
Zfp68,ch11,50671427,50676954,upregulated
unknown-6,ch11,52671041,52676755,upregulated
DNJ,ch11,53248609,53251884,upregulated
UGE4,ch12,61513939,61518272,downregulated
